iter	Logloss
0	0.5888103919
1	0.5052344765
2	0.4426974029
3	0.3967444566
4	0.3642374099
5	0.3409987692
6	0.3197921063
7	0.3018865706
8	0.2876689021
9	0.2766158941
10	0.268066002
11	0.2594685232
12	0.2492708268
13	0.2424054705
14	0.2356459074
15	0.2291376496
16	0.224524933
17	0.2177714186
18	0.2143641354
19	0.2129211003
20	0.210305993
21	0.2060986299
22	0.2039365751
23	0.2023540684
24	0.1996995463
25	0.1961920408
26	0.1940621303
27	0.1906618418
28	0.1867359365
29	0.1841650725
30	0.180882691
31	0.179401192
32	0.1777997406
33	0.175583177
34	0.1740208206
35	0.172286738
36	0.1697197192
37	0.1677299245
38	0.1663070736
39	0.1643828444
40	0.1629655838
41	0.1605739553
42	0.1590422227
43	0.1585310945
44	0.1566041042
45	0.1551751814
46	0.1541990456
47	0.1524613405
48	0.1512763119
49	0.1499405197
50	0.1470331882
51	0.1459132913
52	0.1438591202
53	0.1428897292
54	0.1421225034
55	0.1412560684
56	0.1398471164
57	0.1384696022
58	0.1370814785
59	0.1362894317
60	0.1344971728
61	0.1318062457
62	0.1309447381
63	0.129358524
64	0.1285764202
65	0.1276890013
66	0.1259572899
67	0.1244075783
68	0.1234308319
69	0.1219552493
70	0.1201775027
71	0.1188521916
72	0.1177857237
73	0.1166346944
74	0.115837609
75	0.1138594855
76	0.1133167096
77	0.1124254656
78	0.1112000723
79	0.1100970464
80	0.109099095
81	0.1081386577
82	0.1068446425
83	0.1062789631
84	0.1060002198
85	0.1048192916
86	0.1041140723
87	0.1036937877
88	0.1033416771
89	0.1024053448
90	0.1018255957
91	0.1008866301
92	0.1000370464
93	0.09883501579
94	0.09839506053
95	0.09770542173
96	0.09687575962
97	0.09615697784
98	0.09579557019
99	0.09517155984
100	0.09454279412
101	0.09368991703
102	0.09327722998
103	0.09284919291
104	0.09217420239
105	0.09141206359
106	0.0908957836
107	0.09021162187
108	0.08963568857
109	0.08892103747
110	0.08850821818
111	0.08780427325
112	0.08723787117
113	0.08651943619
114	0.08608661553
115	0.08563839286
116	0.08521042804
117	0.08470491483
118	0.08368786329
119	0.08306598552
120	0.08250141694
121	0.08203489153
122	0.08157480064
123	0.08129392437
124	0.08041850413
125	0.0796677115
126	0.07904421988
127	0.07841311436
128	0.07777101402
129	0.07710539229
130	0.07643704962
131	0.07617745654
132	0.07571828815
133	0.07515635347
134	0.07454115439
135	0.07425714618
136	0.07395409532
137	0.07337053741
138	0.07304075635
139	0.0725289007
140	0.07203116071
141	0.07156926933
142	0.0711748963
143	0.07045590467
144	0.07004537474
145	0.06982098904
146	0.06934313408
147	0.06854882725
148	0.06807717079
149	0.06755366069
150	0.06712844063
151	0.06680849695
152	0.06628709841
153	0.06590297093
154	0.06560086835
155	0.06493917618
156	0.06434789653
157	0.06366029537
158	0.06326029867
159	0.06289962475
160	0.06264492024
161	0.06243009998
162	0.0614203648
163	0.06099663128
164	0.06048902916
165	0.05972088506
166	0.0588900006
167	0.05835997667
168	0.05799090281
169	0.05780384272
170	0.05722565212
171	0.05702221578
172	0.05673181366
173	0.05628820944
174	0.05607778031
175	0.05586715202
176	0.05556101385
177	0.05503448152
178	0.05470047565
179	0.05429198375
180	0.05386900384
181	0.05356215161
182	0.05319147695
183	0.05281910872
184	0.05260000597
185	0.05189718677
186	0.0515448994
187	0.05118154249
188	0.05089755496
189	0.05057093893
190	0.05011080483
191	0.04977661267
192	0.0492115341
193	0.04890272073
194	0.04846518443
195	0.04790104369
196	0.04729106136
197	0.04715546961
198	0.04689698678
199	0.04660959454
200	0.04635548175
201	0.0459785652
202	0.04567317042
203	0.04539814934
204	0.04510312435
205	0.04473466864
206	0.04459744127
207	0.04426538509
208	0.04406271327
209	0.04380325979
210	0.04344636218
211	0.04303378166
212	0.04271608777
213	0.04260819993
214	0.04231695384
215	0.04205207189
216	0.04184269449
217	0.0416781757
218	0.04142230907
219	0.04116066747
220	0.04093579477
221	0.04054688994
222	0.04038180745
223	0.04009245933
224	0.03998214357
225	0.03977133197
226	0.03953646994
227	0.03917704319
228	0.03875312876
229	0.03866562315
230	0.03831463019
231	0.03796678142
232	0.03769439063
233	0.03752534544
234	0.03733176291
235	0.03722154572
236	0.03704116852
237	0.03673876916
238	0.03652935175
239	0.03643071002
240	0.03618679926
241	0.03601434007
242	0.0358415511
243	0.03568730406
244	0.03552128077
245	0.03532236726
246	0.03520247943
247	0.0350029613
248	0.03487923644
249	0.03470302484
250	0.03442995279
251	0.03424181853
252	0.03404979948
253	0.03392078542
254	0.03380594883
255	0.03367344428
256	0.03346874422
257	0.03324077052
258	0.03308937276
259	0.03292801176
260	0.03263117299
261	0.03250163169
262	0.03224944174
263	0.03208448871
264	0.03197603712
265	0.03161734459
266	0.03146261334
267	0.0311516253
268	0.03093862011
269	0.03080287424
270	0.03058982166
271	0.03047333451
272	0.03031141707
273	0.03013779048
274	0.02997171842
275	0.02973236872
276	0.0295552204
277	0.02940014349
278	0.02928359947
279	0.02906775451
280	0.02888779671
281	0.0287582214
282	0.02860399459
283	0.0284385733
284	0.02831290708
285	0.02819612007
286	0.02807385769
287	0.02797192377
288	0.02782013789
289	0.02760636747
290	0.02745376689
291	0.02732737393
292	0.02717337454
293	0.02702663293
294	0.02693100455
295	0.02687525883
296	0.02676139218
297	0.0265719337
298	0.02646200237
299	0.02631171655
